id,name,time,lat,lng
6514,南岗区鲁商凤凰城2号楼,1580918400,45.690275,126.638393
6515,道里区丽水雅居A1栋,1580832000,45.736833,126.586402
6516,道里区地德里小区201栋,1580745600,45.757874,126.622992
6517,道里区地德里小区405栋,1580659200,45.757874,126.622992
6518,道里区民生尚都小区20栋,1580659200,45.725578,126.519783
6519,道外区桦树街桦树家园,1581696000,45.795501,126.708429
6520,道外区丽兹江畔小区3号楼,1581004800,45.799220,126.657170
6521,道外区南极国际三期15栋,1580745600,45.778616,126.653800
6522,道外区西开原二道街17号3号楼,1580659200,45.777272,126.640716
6523,双城区银行名苑小区,1580832000,45.376799,126.319627
6524,依安县东方嘉盛小区5号楼1单元,1581004800,47.904326,125.313915
6525,龙沙区湖滨街道锦江阁二期23号楼1门,1580832000,47.342543,123.934326
6526,梅里斯达斡尔族区莽格吐乡莽格吐村,1580918400,47.815070,124.236144
6527,黑龙江双鸭山友谊县学府小区,1581177600,46.727116,131.596785
6528,黑龙江双鸭山宝清县宝清镇中央大街中央街公寓,1581177600,46.328957,132.203703
6529,黑龙江双鸭山宝清县宝清镇和平里小区,1581177600,46.339991,132.211459
6530,宝清县利民小区,1581696000,46.340379,132.225049
6531,饶河县西丰镇庐园村,1581264000,47.080746,133.322466
6532,黑龙江七台河市勃利县城西街1委,1581091200,45.757645,130.570426
6533,黑龙江七台河市桃山区电厂小区,1581091200,45.763525,131.023664
6534,黑龙江七台河市桃山区银泉小区,1581091200,45.785283,131.017450
6535,黑龙江七台河市新兴区北岸新城,1581091200,45.809447,130.960367
6536,黑龙江省绥化北林区南二建行小区,1581177600,46.646608,126.993200
6537,让胡路区广厦小区F6栋,1581696000,46.640875,124.869548
6538,鸡冠区龙溪花园蔬菜高层,1581177600,45.299556,131.000049
6539,鸡冠区幸福小区,1581177600,45.308089,130.971376
6540,恒山区公安局家属楼,1581177600,45.216991,130.911375
6541,恒山区奋斗街道恒馨家园3号楼,1581177600,45.217030,130.916961
6542,恒山区奋斗街道恒馨家园一号楼,1581177600,45.217030,130.916961
6543,恒山区小恒山二中对面二号楼,1581177600,45.219470,130.929443
6544,恒山区小恒山公司楼,1581177600,45.232391,130.942831
6545,恒山区小恒山百货对面红砖楼,1581696000,45.232391,130.942831
6546,恒山区恒山街里泰和名居c栋1号楼,1581177600,45.222058,130.914894
6547,恒山区泰和茗居C区1号楼,1581177600,45.222058,130.914894
6548,恒山区红旗乡胜利村,1581177600,45.138797,130.937888
6549,恒山区胜利村三组,1581177600,45.138797,130.937888
