id,name,datetime,updated_date,lat,lng,city,province
152,福港路西阳光城市,2020/02/22 17:10:52,2020-01-30,22.523219,114.070802,深圳市,广东省
153,越众小区,2020/02/22 17:10:52,2020-01-30,22.536816,114.011389,深圳市,广东省
154,沙嘴村一坊,2020/02/22 17:10:52,2020-01-30,22.518121,114.038632,深圳市,广东省
155,竹子林越海家园依(倚)山阁,2020/02/22 17:10:52,2020-01-30,22.535398,114.006342,深圳市,广东省
156,福保街道明月花园,2020/02/22 17:10:52,2020-01-30,22.524434,114.055456,深圳市,广东省
157,华强北街道航苑大厦西座,2020/02/22 17:10:52,2020-01-30,22.544047,114.082815,深圳市,广东省
158,福保街道红树福苑,2020/02/22 17:10:52,2020-01-30,22.509621,114.045465,深圳市,广东省
159,丽山路西湖林语,2020/02/22 17:10:52,2020-01-30,22.592901,113.965524,深圳市,广东省
160,西丽阳光工业区,2020/02/22 17:10:52,2020-01-30,22.634281,113.933301,深圳市,广东省
161,蛇口街道海境界,2020/02/22 17:10:52,2020-01-30,22.492227,113.936482,深圳市,广东省
162,南头街道麒麟花园,2020/02/22 17:10:52,2020-01-30,22.544527,113.930445,深圳市,广东省
163,西丽街道德意名居,2020/02/22 17:10:52,2020-01-30,22.590646,113.961695,深圳市,广东省
164,海岸明珠,2020/02/22 17:10:52,2020-01-30,22.515646,113.931428,深圳市,广东省
165,半岛城邦,2020/02/22 17:10:52,2020-01-30,22.480412,113.933004,深圳市,广东省
166,石岩街道伊隆达工业园,2020/02/22 17:10:52,2020-01-30,22.695188,113.942202,深圳市,广东省
167,宝安大道与裕安一路交汇处卡罗社区,2020/02/22 17:10:52,2020-01-30,22.561507,113.890082,深圳市,广东省
168,前海铂寓,2020/02/22 17:10:52,2020-01-30,22.554987,113.862178,深圳市,广东省
169,沙头角街道上东湾,2020/02/22 17:10:52,2020-01-30,22.549799,114.228889,深圳市,广东省
170,龙华街道新华苑2期,2020/02/22 17:10:52,2020-01-30,22.654950,114.036394,深圳市,广东省
171,民治街道丰泽湖山庄,2020/02/22 17:10:52,2020-01-30,22.595064,114.054507,深圳市,广东省
172,民治街道祥(翔)龙御庭小区,2020/02/22 17:10:52,2020-01-30,22.636576,114.008174,深圳市,广东省
173,金地上塘道1期,2020/02/22 17:10:52,2020-01-30,22.633774,114.021949,深圳市,广东省
174,观湖街道招商观园,2020/02/22 17:10:52,2020-01-30,22.690466,114.061980,深圳市,广东省
175,华业玫瑰四季2期,2020/02/22 17:10:52,2020-01-30,22.624551,114.020454,深圳市,广东省
176,坂田街道荔园新村区,2020/02/22 17:10:52,2020-01-30,22.636758,114.071088,深圳市,广东省
